Carrier/Owner,Distance,ADD,Lat,Lon,url
Us Cellular,0.1 mi,"172 West Madison
Chicago Il",41.88227077,-87.63311729,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1040091
Winstar Wireless Fiber Corp.,0.2 mi,"221 N. Lasalle Street
Chicago Il",41.88667907,-87.63218802,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1217827
AT&T,0.2 mi,"1 S Franklin St
Chicago Il",41.88189895,-87.63492999,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1019866
AT&T,0.2 mi,"181 N Dearborn St
Chicago Il",41.88555608,-87.62929262,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1019868
"Amfm Operating, Inc.",0.3 mi,"Opera Building
Chicago Il",41.88231877,-87.63728212,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1060761
Union Pacific Railroad,0.3 mi,"227 W Monroe
Chicago Il",41.88060098,-87.63470867,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1008798
Union Pacific Railroad,0.3 mi,"227 W Monroe
Chicago Il",41.88060098,-87.63470867,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1008798
"Bre 312 Broadcast, Llc",0.4 mi,"233 South Wacker Drive
Chicago Il",41.87864173,-87.6363102,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1032959
"Bre 312 Broadcast, Llc",0.4 mi,"233 South Wacker Drive
Chicago Il",41.87864173,-87.6363102,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1032960
Union Pacific Railroad,0.4 mi,"165 Canal St
Chicago Il",41.88544727,-87.63939273,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1008800
AT&T,0.4 mi,"250 S Wacker Dr
Chicago Il",41.8785999,-87.6373377,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1021705
T-mobile,0.5 mi,"440 N. Wells
Chicago Il",41.89038069,-87.63443414,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1209172
Trump Commercial Chicago Llc,0.5 mi,"401 N. Wabash Avenue
Chicago Il",41.88900085,-87.62628794,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1279395
AT&T,0.5 mi,"411 S Wells St
Chicago Il",41.87648524,-87.63343669,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1019869 
T-mobile,0.6 mi,"527 S. Wells
Chicago Il",41.87537164,-87.63328754,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1209181 
"Hubbard Radio Chicago, Llc",0.6 mi,"Amoco Building
Chicago Il",41.88531445,-87.62148335,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1232992 
AT&T,0.6 mi,"401 S State St
Chicago Il",41.87652936,-87.62725295,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1019870 
T-mobile,0.7 mi,"640 N. Lasalle
Chicago Il",41.89348612,-87.63369205,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1209171 
T-mobile,0.8 mi,"600 S. Michigan Ave.
Chicago Il",41.87434647,-87.62481252,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1209184 
Commonwealth Edison Company,0.9 mi,"309 W Taylor St
Chicago Il",41.8699757,-87.6381292,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1009173 
T-mobile,1.0 mi,"474 Lake Shore Drive
Chicago Il",41.89095705,-87.61457919,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1209193 
"Chicago, City Of",1.1 mi,"1010 S Clinton
Chicago Il",41.86964397,-87.64109524,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1002153 
T-mobile,1.1 mi,"171 West Oak St.
Chicago Il",41.90056907,-87.63341903,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1209188 
T-mobile,1.1 mi,"830 N. Michigan Ave.
Chicago Il",,,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1209191 
American Towers Llc,1.2 mi,"East Tower 875 N Michigan Ave (280282)
Chicago Il",41.89898361,-87.62287954,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1009012 
American Towers Llc,1.2 mi,"West Tower 875 N Michigan Ave (280283)
Chicago Il",41.89486692,-87.622122,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1009013 
Ccatt Llc,1.3 mi,"611 W Roosevelt Rd
Chicago Il",41.86711658,-87.64271374,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1000337 
T-mobile,1.4 mi,"1165 N. Clark
Chicago Il",41.90382122,-87.63117933,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1209732 
AT&T,1.4 mi,"30 E Division St
Chicago Il",41.90454976,-87.62726989,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1019867 
T-mobile,1.5 mi,"1015 N. Halsted
Chicago Il",41.90071072,-87.64723597,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1209066
AT&T,1.5 mi,"1450 S Michigan Ave
Chicago Il",41.86270222,-87.6244407,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1009137
Northeast Illinois Regional Commuter Railroad Corp,1.6 mi,"1501 S Canal
Chicago Il",41.86200952,-87.63889414,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1061675
T-mobile,1.8 mi,"600 E. Grand Ave.
Chicago Il",41.89130463,-87.60746406,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1209733
AT&T,1.9 mi,"1540 N Lasalle St
Chicago Il",41.91046859,-87.63372453,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1019864
"Illinois, State Of",2.1 mi,"840 South Wood St
Chicago Il",41.87088597,-87.67180103,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1205338
T-mobile,2.1 mi,"1308 N. Elston Avenue
Chicago Il",41.9059137,-87.66019135,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1208838
AT&T,2.1 mi,"936 N. Ashland Avenue
Chicago Il",41.89951875,-87.66778237,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1065753
American Towers Llc,2.3 mi,"822 W 22nd St (dvorak Park, Il # 303630)
Chicago Il",41.85033637,-87.7567018,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1223052
"Sba 2012 Tc Assets, Llc",2.3 mi,"134 N Damen (il46498-a)
Chicago Il",41.8854916,-87.6767807,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1270302
AT&T,2.3 mi,"1415 South Ashland
Chicago Il",41.86295624,-87.66627653,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1281458
Koziel Llc,2.6 mi,"2540 S. Wabash Avenue
Chicago Il",41.84625113,-87.62579997,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1060627
"Apc Towers, Llc",2.9 mi,"2601 S. Archer Ave
Chicago Il",41.84453122,-87.65084644,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1300871
