,Carrier,Distance,ADD,Lat,Lon
11,T-mobile,0.5 mi,"440 N. Wells
Chicago Il",41.89038069,-87.63443414
14,T-mobile,0.6 mi,"527 S. Wells
Chicago Il",41.87537164,-87.63328754
17,T-mobile,0.7 mi,"640 N. Lasalle
Chicago Il",41.89348612,-87.63369205
18,T-mobile,0.8 mi,"600 S. Michigan Ave.
Chicago Il",41.87434647,-87.62481252
20,T-mobile,1.0 mi,"474 Lake Shore Drive
Chicago Il",41.89095705,-87.61457919
22,T-mobile,1.1 mi,"171 West Oak St.
Chicago Il",41.90056907,-87.63341903
23,T-mobile,1.1 mi,"830 N. Michigan Ave.
Chicago Il",41.89795537,-87.6247471
27,T-mobile,1.4 mi,"1165 N. Clark
Chicago Il",41.90382122,-87.63117933
29,T-mobile,1.5 mi,"1015 N. Halsted
Chicago Il",41.90071072,-87.64723597
32,T-mobile,1.8 mi,"600 E. Grand Ave.
Chicago Il",41.89130463,-87.60746406
35,T-mobile,2.1 mi,"1308 N. Elston Avenue
Chicago Il",41.9059137,-87.66019135
